nohup: ignoring input
/home/rpi/boardcast_device/boardcast_device.py:130: DeprecationWarning: Callback API version 1 is deprecated, update to latest version
  client = mqtt.Client(client_id=DEVICE_ID)
2025-07-02T10:24:33Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:24:38Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:24:43Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:24:48Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:24:53Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:24:58Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:25:03Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:25:08Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:25:13Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:25:18Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:25:23Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:25:28Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:25:33Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:25:38Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:25:43Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:25:48Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:25:53Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:25:58Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:26:03Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:26:08Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:26:14Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:26:19Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:26:24Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:26:29Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:26:34Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:26:39Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:26:44Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:26:49Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:26:54Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:26:59Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:27:04Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:27:09Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:27:14Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:27:19Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:27:24Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:27:29Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:27:34Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:27:39Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:27:44Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:27:49Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:27:54Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:27:59Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:28:04Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:28:09Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:28:14Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:28:19Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:28:24Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:28:29Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:28:35Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:28:40Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:28:45Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:28:50Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:28:55Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:29:00Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:29:05Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:29:10Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:29:15Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:29:20Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:29:25Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:29:30Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:29:35Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:29:40Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:29:45Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:29:50Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:29:55Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:30:00Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:30:05Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:30:10Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:30:15Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:30:20Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:30:25Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:30:30Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:30:35Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:30:40Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:30:46Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:30:51Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:30:56Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:31:01Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:31:06Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:31:11Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:31:16Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:31:21Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:31:26Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:31:31Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:31:36Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:31:41Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:31:46Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:31:51Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:31:56Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:32:01Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:32:06Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:32:11Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:32:16Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:32:21Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:32:26Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:32:31Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:32:36Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:32:41Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:32:46Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:32:51Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:32:56Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:33:01Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:33:07Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:33:12Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:33:17Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:33:22Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:33:27Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:33:32Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:33:37Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:33:42Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:33:47Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:33:52Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:33:57Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:34:02Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:34:07Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:34:12Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:34:17Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:34:22Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:34:27Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:34:32Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:34:37Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:34:42Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:34:47Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:34:52Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:34:57Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:35:02Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:35:07Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:35:12Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:35:17Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:35:23Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:35:28Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:35:33Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:35:38Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:35:43Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:35:48Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:35:53Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:35:58Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:36:03Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:36:08Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:36:13Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:36:18Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:36:23Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:36:28Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:36:33Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:36:38Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:36:43Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:36:48Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:36:53Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:36:58Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:37:03Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:37:08Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:37:13Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:37:18Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:37:23Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:37:28Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:37:33Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:37:39Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:37:44Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:37:49Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:37:54Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:37:59Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:38:04Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:38:09Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:38:14Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:38:19Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:38:24Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:38:29Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:38:34Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:38:39Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:38:44Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:38:49Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:38:54Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:38:59Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:39:04Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:39:09Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:39:14Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:39:19Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:39:24Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:39:29Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:39:34Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:39:39Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:39:44Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:39:49Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:39:55Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:40:00Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:40:05Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:40:10Z [INFO] Published to /boardcast/station-00005
